category,account,count
1,husharu_kodi,10
1,shanvisri,10
1,preyadarshe,10
1,taranikondoori,10
1,enememeproject,10
1,manideep.sharma_,10
1,_itwys,10
1,kanksha_07,10
1,sumantventertainment_official,10
1,bhimavaram_abbayie,10
1,wikkiofficial,10
1,aparnavarmadatla,10
1,ritika_offl,10
1,ravi_mahadasyam,10
1,the_dimplee_girl,10
1,kavya_kashetti,10
1,epic.top.comments.telugu,10
1,sneakyyy.spam,10
1,naku_bhutulu_urike_ravuu,10
1,sriniadithya,10
1,__solsticeflys__,10
1,mythriofficial,10
1,frustrated_ammayi_,10
1,abhinaya_official,10
1,sudhapusa_,10
1,helloipsita,10
1,chandrikaravi,10
1,bustard_babai,10
2,shreyasgroup,233
3,unprofessional_trollers,1218
4,america_nri_la_frustration,700
5,crazziee_stuff,867
